Analysis name: SLA_Madison
Column conditions: None
Row conditions: Block, Procedure[Trial], Procedure[Block], SubTrial, Sex, Age, Procedure[SubTrial], Response.RESP, Response.RT, Running[SubTrial], GambleOutcome, GambleAmount, Amount1, Amount2, Certain, Rating, RatingsList
Statistics: Response.RT:Mean
Filters: None
Data file: SLA_v1a_withpractice_Other_8_11_16A_ORDER2-12-1
File does not have data alterations.
Block	Procedure[Trial]	Procedure[Block]	SubTrial	Sex	Age	Procedure[SubTrial]	Response.RESP	Response.RT	Running[SubTrial]	GambleOutcome	GambleAmount	Amount1	Amount2	Certain	Rating	RatingsList	Stats	
3	Both2	BothTask	18	female	24	LABothMixed	2	529	List12	won	$8.00	$8.00	-$5.00	$0.00	NULL	NULL	Mean Response.RT	529.00
3	Both2	BothTask	19	female	24	LABothMixed	2	423	List12	won	$10.00	$10.00	-$13.75	$0.00	NULL	NULL	Mean Response.RT	423.00
3	Both2	BothTask	20	female	24	LABothGain	1	484	List12	lost	$0.00	$8.00	$0.00	$3.00	NULL	NULL	Mean Response.RT	484.00
3	Both2	BothTask	21	female	24	LABothMixed	2	602	List12	won	$8.00	$8.00	-$6.00	$0.00	NULL	NULL	Mean Response.RT	602.00
3	Both2	BothTask	22	female	24	LABothGain	1	600	List12	won	$13.00	$13.00	$0.00	$5.00	NULL	NULL	Mean Response.RT	600.00
3	Both2	BothTask	23	female	24	LABothGain	1	637	List12	won	$24.00	$24.00	$0.00	$12.00	NULL	NULL	Mean Response.RT	637.00
3	Both2	BothTask	24	female	24	LABothMixed	2	587	List12	lost	-$18.00	$9.00	-$18.00	$0.00	NULL	NULL	Mean Response.RT	587.00
3	Both2	BothTask	25	female	24	LABothGain	1	1040	List12	lost	$0.00	$7.00	$0.00	$4.00	NULL	NULL	Mean Response.RT	1040.00
3	Both2	BothTask	26	female	24	LABothMixed	2	878	List12	lost	-$3.75	$10.00	-$3.75	$0.00	NULL	NULL	Mean Response.RT	878.00
3	Both2	BothTask	27	female	24	LABothMixed	2	795	List12	won	$5.00	$5.00	-$3.13	$0.00	NULL	NULL	Mean Response.RT	795.00
3	Both2	BothTask	28	female	24	LABothMixed	2	440	List12	lost	-$15.00	$12.00	-$15.00	$0.00	NULL	NULL	Mean Response.RT	440.00
3	Both2	BothTask	29	female	24	LABothMixed	2	1135	List12	lost	-$10.50	$6.00	-$10.50	$0.00	NULL	NULL	Mean Response.RT	1135.00
3	Both2	BothTask	30	female	24	LABothGain	1	516	List12	won	$11.00	$11.00	$0.00	$6.00	NULL	NULL	Mean Response.RT	516.00
3	Both3	BothTask	1	female	24	LABothMixed	2	343	List13	won	$9.00	$9.00	-$11.25	$0.00	NULL	NULL	Mean Response.RT	343.00
